,title,artist,lyrics
194,Take Back the Night,Justin Timberlake,"yeah, uh, feels good, don't it? listen, uh  yeah, this was your city you did it all and more, broke every law except for one, babe attraction, are you ready? i know you feel it, pull you nearer 'til you feel it again, oh  i wanna do somethin' right but we can do somethin' better ain’t no time like tonight and we ain’t tryna save it 'til later stay out here livin' the life nobody cares who we are tomorrow and you got that lil' somethin' i like a little something i've been wantin' to borrow tonight's the night, come on, surrender i won't lead your love astray, astray, yeah your love's a weapon give your body some direction that's my aim, then we could take back the night come on, use me up until there's nothin' left take back the night dizzy, spinnin', sweatin', you can't catch your breath take back the night ooh, don't know when the sun is rising next take back the night so if the feeling's right, then raise your glass and let's take back the night  take back the night they gon' try to shut us down, but i'll be damned if we gon' let 'em take back the night, take back the night you know you're gon' mess around and find out there ain't no one better take back the night, oh yeah  rare, there's not too many no one but you and crowded rooms, we can do anything (yeah) attraction can drive you crazy and the way you move when you go crazy, that's incentive for me  i wanna do somethin' right but we can do somethin' better there ain't no time like tonight and we ain't tryna save it for later stay out here living the life nobody cares who we are tomorrow and you got that lil' somethin' i like a little something i've been wantin' to borrow tonight's the night, come on, surrender i won't lead your love astray, astray, yeah your love's a weapon give your body some direction that's my aim, then we could you might also like take back the night come on, use me up until there's nothing left take back the night dizzy, spinnin', sweatin', you can't catch your breath take back the night ooh, don't know when the sun is rising next take back the night so if the feeling's right, then raise your glass and let's take back the night  take back the night they gon' try to shut us down, but i'll be damned if we gon' let 'em take back the night, take back the night you know you're gon' mess around and find out there ain't no one better  break it, break it down now break it, break it down now doo doo doo doo doo doo doo yeah, yeah, oh, uh (and the horns say, alright) (and the horns say, alright) (uh, ooh, and the horns say, alright) (and the horns say) (doo doo doo doo doo doo doo) take it over yeah, yeah y'all ready to have a good time out there, ladies and gentlemen? ladies and gentlemen, jt and the tennessee kids let your hair down, baby take back the night, take back the night take back the night ooh, we don't know when the sun is rising next take back the night so if the feeling's right, then raise your glass and let's take back the night  take back the night, take back the night they gon' try to shut us down, i'll be damned if we gon' let them take back the night, take back the night you know you're gon' mess around and find out there ain't no one better  (and the horns say) alright (and the horns say) uh (and the horns say) feels good to me (and the horns say) alright, ooh take it over "
195,Applause,Lady Gaga,"i stand here waiting for you to bang the gong to crash the critic saying, ""is it right or is it wrong?"" if only fame had an iv, baby, could i bear being away from you? i found the vein, put it in here  i live for the applause, applause, applause i live for the applause-plause, live for the applause-plause live for the way that you cheer and scream for me the applause, applause, applause give me that thing that i love (i'll turn the lights out) put your hands up, make 'em touch, touch (make it real loud) give me that thing that i love (i'll turn the lights out) put your hands up, make 'em touch, touch (make it real loud)  a-p-p-l-a-u-s-e (make it real loud) a-p-p-l-a-u-s-e put your hands up, make 'em touch, touch a-p-p-l-a-u-s-e (make it real loud) a-p-p-l-a-u-s-e put your hands up, make 'em touch, touch  i've overheard your theory, ""nostalgia's for geeks"" i guess sir, if you say so, some of us just like to read one second i'm a koons, then suddenly the koons is me pop culture was in art, now art's in pop culture, in me  i live for the applause, applause, applause i live for the applause-plause, live for the applause-plause live for the way that you cheer and scream for me the applause, applause, applause you might also like give me that thing that i love (i'll turn the lights out) put your hands up, make 'em touch, touch (make it real loud) give me that thing that i love (i'll turn the lights out) put your hands up, make 'em touch, touch (make it real loud)  a-p-p-l-a-u-s-e (make it real loud) a-p-p-l-a-u-s-e put your hands up, make 'em touch, touch a-p-p-l-a-u-s-e (make it real loud) a-p-p-l-a-u-s-e put your hands up, make 'em touch, touch  woo... touch, touch woo... touch, touch now... woo-oh-oh-oh... woo-oh-oh-oh...  i live for the applause, applause, applause i live for the applause-plause, live for the applause-plause live for the way that you cheer and scream for me the applause, applause, applause give me that thing that i love (i'll turn the lights out) put your hands up, make 'em touch, touch (make it real loud) give me that thing that i love (i'll turn the lights out) put your hands up, make 'em touch, touch (make it real loud)  a-p-p-l-a-u-s-e (make it real loud) a-p-p-l-a-u-s-e put your hands up, make 'em touch, touch a-p-p-l-a-u-s-e (make it real loud) a-p-p-l-a-u-s-e put your hands up, make 'em touch, touch  a-r-t-p-o-p"
196,Anything Could Happen,Ellie Goulding,"stripped to the waist we fall into the river cover your eyes so you don't know the secret i've been trying to hide we held our breath to see our names are written on the wreck of ' that was the year i knew the panic was over  yes, since we found out since we found out that anything could happen anything could happen anything could happen anything could happen anything could happen anything could happen anything could after the war, we said we'd fight together i guess we thought ""that's just what humans do"" letting darkness grow as if we need its palette and we need its color  but now i've seen it through and now i know the truth  that anything could happen anything could happen anything could happen anything could happen anything could happen anything could happen anything could you might also like baby, i'll give you everything you need i'll give you everything you need, oh i'll give you everything you need but i don't think i need you  stripped to the waist we fall into the river cover your eyes so you don't know the secret i've been trying to hide we held our breath to see our names are written on the wreck of ' that was the year i knew the panic was over  yes, since we found out since we found out  that anything could happen anything could happen anything could happen anything could happen anything could happen anything could happen anything could i know it's going to be i know it's going to be i know it's going to be i know it's going to be i know it's going to be i know it's going to be i know it's going to be i know it's going to be, oh  but i don't think i need you but i don't think i need you but i don't think i need you but i don't think i need you"
197,Finally Found You,Enrique Iglesias,"you know i'm gon' get you, yeah whatever it takes to, get there no, i won't drop you like everybody else does  forget about your friends, they don't care where we go if they do, we'll get lost in a crowd of people i've been looking for you forever, baby, we go together, baby, we go, we go in this crazy world of choices, i've only got a few either you're coming with me or i'm coming with you 'cause i finally found, i finally found you you never have to worry if what i say is true girl, i've been looking for you and when i saw you i knew that i finally found, i finally found you   i'm coming, i'll get ya, yeah we have a connection, that's right 'cause girl, i'm not letting go i'm gonna make you feel right, oh yeah  forget about your friends, they don't care where we go if they do, we'll get lost in a crowd of people i've been looking for you forever, baby, we go together, baby, we go, we go  in this crazy world of choices, i've only got a few either you're coming with me or i'm coming with you 'cause i finally found, i finally found you you never have to worry if what i say is true girl, i've been looking for you and when i saw you i knew that i finally found, i finally found you you might also like i finally found, i finally found you  yeah, so can i get love? too much to ask for, really so tough find yourself moving with the sex of the drums got my hands full, grabbing all these girls, girls hands up, hands up dance floor chillin' when i hold two cups can't stop spilling 'cause i'm drunk as fuck and my song comes on and the club goes nuts every province i go, city i sleep, it's best that ya’ll know running around, and doing all these shows round the whole globe, i come, and you go girl and you need to think of it just wrap for the night, baby, live a bit with a place to hit, and your pants to zip you can make a scene and party, are you into it?  in this crazy world of choices, i've only got a few either you're coming with me or i'm coming with you 'cause i finally found, i finally found you  finally, finally, finally found you finally, finally, finally found finally found, i finally found you you know i'm gon' get ya, yeah"
198,Pom Poms,Jonas Brothers,"more to love when your hands are free baby, put your pom poms down for me (okay) come on, shake it up, -- baby, put your pom poms down for me  yeah, they come from miles away just to see how you get down feels like an earthquake every time you come around you hear 'em saying, ""yeah"" (yeah) every time feels like a revival (glory) so get up, right now we're coming for the title more to love when your hands are free baby, put your pom poms down for me come on, shake it up, -- baby, put your pom poms down for me when you move i fall to my knees baby, put your pom poms down for me come on, shake it up, -- baby, put your pom poms down for me  i want you on my team want you like kid just wants a milkshake and i won't let it go to waste, if i get a taste i'm gonna drink the whole thing you hear 'em saying, ""yeah"" (yeah) every time feels like a revival (glory) so get up, right now we're coming for the title  more to love when your hands are free baby, put your pom poms down for me come on, shake it up, -- baby, put your pom poms down for me when you move i fall to my knees baby, put your pom poms down for me come on, shake it up, -- baby, put your pom poms down for me you might also like ladies to the left, fellas to the right if you wanna see me put my pom poms down then sing it to me, baby, sing it right now na, na, na, na, na, na, yeah, yeah if you wanna see me put my pom poms down then sing it to me, baby, sing it right now na, na, na, na, na, na, yeah, yeah  more to love when your hands are free baby, put your pom poms down for me come on, shake it up, -- baby, put your pom poms down for me when you move i fall to my knees baby put your pom poms down for me come on, shake it up, -- baby, put your pom poms down for me, me, me"
199,#Beautiful,Mariah Carey,"ah, ah, you’re beautiful (yeah) ah, ah, you’re beautiful  hop on the back of my bike let the good wind blow through your hair with an ass like that and a smile so bright oh, you’re killing me, you know it ain’t fair, yeah ride on through the middle of the night let the moonlight kiss your skin when you dance like that, your jeans so tight oh, you’re killing me, baby, do it again, yeah you’re beautiful and your mind is fucking beautiful and i can’t pretend that doesn’t mean a thing to me, to me, yeah you’re beautiful good lord, you’re fucking beautiful and i can’t pretend that doesn’t mean a thing to me, to me, yeah, yeah i like when you run red lights don’t stop ’til you thrill me, oh, how you thrill me always in control, how you do it, i don’t know but i don’t care, take me anywhere  ‘cause it’s beautiful oh, you make me feel undressable and i can’t pretend that doesn’t mean a thing to me, to me, oh yeah you’re beautiful and your mind is fucking beautiful and i can’t pretend that that doesn’t mean a thing to me, to me, yes you’re beautiful good lord, you’re fucking beautiful (so beautiful) and i can’t pretend that doesn’t mean a thing to me, to me, yeah, yeah you might also like ah, ah, you’re beautiful ah, ah, you’re beautiful you don’t know what you’re doing, darling ah, ah, you’re beautiful hop on back my bike, darling oh-oh, i'll take you ah, ah, you’re beautiful don’t you worry, darling ah, ah, you’re beautiful"
200,How Ya Doin'? (feat. Missy Elliott),Little Mix,"hey, how you doin'? sorry, you can't get through why don't you leave your name and your number? and we'll get back to you (ooh) hey, how you doin'? sorry, you can't get through why don't you leave your name and your number? and we'll get back to you  ain't got no time for what you think can be described as love i've cut your hold on me, you're missin' me, i've had enough it's been so long since you have treated me like i deserve so long (long), baby, i'm gone (gone) you can leave a message for me after the tone (oh) you called, i missed it (oh-oh) you called, i missed it (oh-oh) you called and i missed it (oh-oh) never get back, gettin' tired of listenin' (oh-oh)  hey (hey), how you doin'? (doin') sorry, you can't get through why don't you leave your name and your number? and we'll get back to you hey (hey), how you doin'? (doin') sorry, we don't mean to be rude why don't you leave your name and your number? and we'll get back to you  i know that you keep calling my phone but, baby, there ain't nobody home so, won't you leave your name and your number and we'll get back to you  i'm through with wishing things with you and me could be so good time to wake up, boy, no make-ups can make me a fool too much history, now it comes down to one thing so long (long), baby, i'm gone (gone) you can leave a message for me after the tone (oh) you might also like you called, i missed it (oh-oh) you called, i missed it (oh-oh) you called and i missed it (oh-oh) never get back, gettin' tired of listenin' (oh-oh; hey)  hey (hey), how you doin'? (doin') sorry, you can't get through (oh, woah) why don't you leave your name and your number? (number) and we'll get back to you  (we'll get back to you) hey (hey), how you doin'? (doin') sorry, we don't mean to be rude (yeah, yeah, yeah) why don't you leave your name and your number? (number) and we'll get back to you  i know that you keep calling my phone but baby, there ain't nobody home so won't you leave your name and your number and we'll get back to you (one, two)  now listen, boy, you can never play miss, got my mind twisted whenever i don't answer you be leaving messages you don't do me right 'cause you got way too many chicks you get the wrong number, brrr, it's unlisted i'ma change my digits, i'ma keep the distance oh, now you want me back, you wanna pay a visit you get the dial tone, click-click (yo) brand new song here, yeah, missy with little mix (let's go) yeah, i used to hold you down, i don't want you around (oh-oh-oh-oh) 'cause i won't play that, you just sold me the clown (oh-oh-oh-oh) boy, it’s over now, yeah it's over now and when you call, i'ma send you to my voicemail hey (hey), how you doin'? (doin') sorry, you can't get through why don't you (woah) leave your name and your number (your number) and we'll get back to you (hey, yeah) hey (hey), how you doin'? (doin') sorry, we don't mean to be rude (sorry, we don't mean to be rude) why don't you leave your name and your number (number) and we'll get back to you (we'll get back to you)  never get back, never gonna get back never get back, never gonna get back (ah) never get back, never gonna get back never get back, never gonna get back (yeah) never get back, never gonna get back never get back, never gonna get back never get back,  never gonna get back (mmm) never get back to you the number you have dialed has been changed"
201,Crazy Kids (feat. will.i.am),Kesha,"awards & accomplishments date - accomplishment appearances & shows date - appearance at show discography // - ""praying"" // - ""woman"" (feat. the dap-kings horns) // - ""learn to let go"" // - rainbow filmography // - ""praying"" // - ""woman"" (feat. the dap-kings horns) // - ""learn to let go"" // - ""rainbow"" // - ""good old days"" (macklemore feat. kesha) interviews date - article name, publisher name, date published - : warrior and legal battle awards & accomplishments // - genesis awards, the gretchen wyler award // - newnownext award for that's my jam, ""c'mon"" // - iheartradio music award for best collaboration, ""timber"" // - billboard music award for best rap song, ""timber"" // - hrc equality gala visibility award // - billboard women in music trailblazer award appearances & shows date - appearance at show discography date - song / project filmography // - ""die young"" // - ""c'mon"" // - ""crazy kids"" (feat. will.i.am) interviews date - article name, publisher name, date published - : animal and cannibal awards & accomplishments // - eska music award for best new artist // - muchmusic video award for urfave: international video, ""tik tok"" // - bravo otto award for best female singer // - mtv ema for best new act // - japan gold disc award for international new artist of the year // - japan gold disc award for three best new artists // - peta libby award for most animal friendly pop/hip-hop artist // - bmi pop award  for award-winning songs, ""tik tok"" // - bmi pop award  for award-winning songs, ""your love is my drug"" // - bmi pop award for award-winning songs, ""blow"" // - bmi pop award for award-winning songs, ""we r who we r"" // - bmi pop award for award-winning songs, ""till the world ends"" (britney spears) appearances & shows date - appearance at show discography // - ""tik tok"" // - animal filmography // - ""tik tok"" // - ""blah blah blah"" (feat. oh!) // - ""your love is my drug"" // - ""my first kiss"" (oh! feat. kesha) // - ""take it off"" // - ""we r who we r"" // - funny or die's ""disney's princess kesha"" // - ""blow"" // - ""stephen"" // - ""animal"" interviews // - ""meet 'tik tok' singer ke$ha,"" seventeen"
202,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,"three months ago, cady groves was on rock road in wichita, driving down the main drag in a crappy ford taurus, when it suddenly hit her. she pulled over to get an ice cream cone at a braum's store, hoping that would make her feel better, but it didn't. as she started to cry while sitting alone in the parking lot, she grabbed her phone and called rani hancock, her a&r representative at rca records, whom she considered a dear friend. groves told her that she couldn't do it anymore -- that is, be a part of rca, the label she had dreamt of joining since she was a child. she wanted to be dropped. the response she received was a heartfelt apology for her tumultuous stint on the label, but no concrete answers as to why it had happened. ""they wanted me to know that this was in no way my fault, or due to my performance on anything,"" groves tells billboard. ""i kept every promise, so why am i in a kansas parking lot, afraid that my gas is gonna hit e? why am i not good enough?"" groves had moved to wichita a year before that parking-lot epiphany, after spending the majority of the three prior years in los angeles, waiting for her phone to ring. she had signed to rca in  and moved out to l.a. months later, but with bills to pay and no source of income, decided to move into a house that her brother had renovated in kansas, and search for a -hour work week in late . the only stipulation: the job couldn't be somewhere that would risk her being recognized. ""i almost got hired at a starbucks,"" she says, ""and i just couldn't do it, because everyone i know in this town goes to starbucks, and the second they'd see me, they'd know i failed."" groves, who is  years old, was once a prize courted by every major label. she has a collection of unique, expertly written pop songs; thousands of dedicated fans who appreciate her biting humor and midwest sensibility; and a relentless work ethic that has beguiled some of the most celebrated producers and songwriters in modern pop music, including savan kotecha (one direction's ""what makes you beautiful,"" britney spears' ""i wanna go"") and kristian lundin (backstreet boys' ""i want it that way,"" *n sync's ""bye bye bye""). ""during our first session, both i and savan  instantly felt she had a great, recognizable voice and personality,"" says lundin, the swedish legend who recently co-wrote one direction's single ""kiss you."" lundin has not done much mainstream production work in the past decade, but for groves, he willingly became a mentor. for those who discovered her, groves' star potential was obvious and real. but a few months ago, when she and her manager officially cut the cord with rca after three years and one ep release, she was done with her recording career. with the permission of her past collaborators, groves started posting a steady stream of years-old demos online. they weren't demos of songs from her enthralling rca debut album, because she had already resigned herself to never having that released commercially or even non-commercially; instead, they were outtakes, songs that she had roughly finished and enjoyed but were deemed not strong enough to make the full-length. scraps, the best she could offer for nearly , twitter followers, several of whom have tweeted her, asking about the mysterious delay of her debut album. at that point, groves didn't think she would ever make music again. ""i did the work, and that's what i don't understand,"" says groves. ""and when you don't get to see that payoff for the work you've done for years, it's really frustrating."" after momentarily relinquishing her desire to become a pop star, groves is back to believing in her abilities, and is looking for a new chance. manager stirling mcilwaine talks about meeting with new labels in the coming weeks, and repeats the phrase ""cady ."" when describing the next phase of the singer-songwriter's career. she's nervous about diving back in, but is confident, even cocky, about what she can do. to get it right the second time, however, she still has to figure out what went wrong the first time. *** growing up in oklahoma cities like marlow and lawton after her parents divorced, groves would turn on christina aguilera's ""genie in a bottle"" in her room and sing along from the inside of her closet, because she didn't want any of her family members hear her attempts to match the melismas. one day, when her mother was outside cleaning the family's pool in the backyard, cady marched outside and declared that she was going to be the next britney spears. her mother responded, ""no, you're not."" ""i didn't want to be mean,"" says groves' mother, carol petitt. ""we all want as parents for our kids to have their heart's desires. but i didn't want to see hers crushed... you're gonna have to be able to provide for yourself. but she was tenacious."" groves' childhood was largely unhappy. a rotating cast of stepfathers distanced her from her mother, and most of her older siblings -- cady is the youngest of seven children -- told her that her voice was terrible, and that she shouldn't pursue music. wanting to become a songwriter but flirting with an interest in cooking, she graduated from high school at  and attended the le cordon bleu college of culinary arts in scottsdale, ariz.; from there, she bundled up all of her possessions in a ford contour and bounced around the southwest, residing in phoenix, nevada and oklahoma at varying lengths of time, feeling lost in every city and state. while staying in oklahoma in the fall of , groves got a call from her favorite brother, casey, inviting her to stay with him for a week at his house in kansas. groves, then , spent an incredible few days with her -year-old brother, watching ""the godfather"" and eating miniature chocolates and going food shopping. at the end of the week, she confessed that she still harbored the musical aspirations that she had had since she was little. ""he said, 'if you want to do something, you're wasting time right now talking about being scared to do it,'"" groves recalls. ""he gave me confidence. we went out to eat that night, and we took a picture together, and i didn't know that that would be the last picture he ever took."" two days later, casey was dead -- the victim of a still-unresolved murder. groves sank into a deep depression, spending most of her days locked in an apartment in oklahoma, writing the bleakest songs of her life. when she pulled herself out of that stupor six months later, groves did so quickly -- leaving her apartment in the middle of the night, driving to kansas city to live with her brother kyle for the summer of , and setting up a makeshift studio in his basement, where she could write lyrics and tinker with recording her vocals. three months later, cady went to live with another brother, cody, back in oklahoma, where she mowed lawns all day and worked on her myspace page all night. eventually, groves wrote a full ep of songs, titled ""a month of sundays"" -- and, still believing she couldn't sing, went onto craigslist to find a vocalist who could prop up her words. she found a girl online who was willing to record her songs and used her lawn-mowing money to book some time at a studio in springfield, missouri… but the craigslist girl never showed up. ""i felt like i had wasted so much money, and the  bookers were like, 'you don't have a bad voice, just go sing the songs,'"" she says. groves did the best she could in the missouri studio, traveled back to oklahoma, and got sent the finished songs back in three weeks. ""i posted the first one,"" says groves, ""and the next day, every major record label had contacted me on my myspace."" groves had reconnected with her family following casey's death, but when her mother and brothers told her that the various label messages were hoaxes, she stopped communicating with them about her career. instead, she found a friend and backer in hancock, the senior vp of a&r at rca, who had worked with clive davis for over a decade at arista and j records, and been courting groves to sign with the label while the burgeoning singer had been taking meetings in new york city . groves went with her gut, inked with hancock and rca in early spring , and in may, embarked on her first national tour, on the  bamboozle road show alongside artists like third eye blind, good charlotte and all time low. ""i've never seen someone stand in front of a crowd of people and be able to capture them so instantly,"" says guitarist ryan williams, who began playing shows with groves in early . everything was moving quickly for groves when the bamboozle trek wrapped in late june : while her family was googling her name to find out that her spot on a national tour wasn't a practical joke, groves had moved to los angeles, determined to quickly write and record her first album. standing on the santa monica pier, groves gazed out at the pacific for the first time. ""you look at the ocean, and you can't control anything out there -- it's so much bigger than all of us,"" she says. ""it made me think, if i want to make an impact on the world... i have to have my songs be as big as this ocean to really move someone."" *** the first songwriting attempts in los angeles were unsuccessful -- groves says that she would send in songs and be told to keep writing, a polite rebuff of the material she had already written. groves was soon paired with some of the biggest swedish producers and songwriters in mainstream music to help extract her inner pop star: kotecha, carl falk (nicki minaj's ""starships,"" one direction's ""live while we're young"") and lundin, the latter of whom she worked with most closely. all the while, groves was ecstatic, now writing with the collaborators of her childhood idols as an artist on the label of her childhood idols. ""i remember telling my mom, 'you don't understand -- when i was a kid, i had the christina aguilera single, and it said she was on rca records. and now my singles are gonna say that!'"" says groves. at , she also fell deeply in love with a collaborator, a -year-old producer she had met at one of her first writing sessions in los angeles, and began an intense, months-long relationship. ""we had talked about moving in together, and even getting married,"" she says. one day, the producer was running late to a writing session, and another producer at the studio casually mentioned that her secret boyfriend was married. after one final interaction in which groves confronted the producer, the two never spoke again. feeling duped and heartbroken, groves proceeded to re-write all of the songs she and the unnamed producer had worked on together. groves and lundin crafted an uptempo breakup single, ""this little girl,"" that was at once darkly sardonic and addictive, punctuated by the line ""this little girl is capable of murder/'cause you hurt her."" the song premiered in august , and previewed the ""this little girl"" ep, released in february . sam lansky, time's deputy culture editor, heard groves' debut ep at a manhattan listening session in october  while serving as a blogger for muumuse.com, and was unexpectedly intrigued. ""i was really startled by how great the music was... and also, by her transparency and what a compelling figure she was,"" says lansky. ""it was a lot more than what you got from hearing 'this little girl' -- there was a depth to her and her story, and her willingness to share her story."" ""this little girl"" earned praise from pop blogs like popcrush, justjared and idolator upon its release, but the ep was actually supposed to be an album. ""i had a finished album, and i was going on tour with hot chelle rae … an ep is not the way i wanted to present these songs,"" says groves. according to the singer, however, rca thought it would be better to release ""this little girl"" as a single on a four-song ep, and gauge interest before setting an album release date . a year and a half after signing with the label, groves was ready to put something, anything, out for the fans she had started gathering online and on tour, and begrudgingly backed the decision to release an ep led by her ""this little girl"" single. but ""this little girl"" fizzled. despite receiving a proper press push from rca and a music video that featured a cameo from blake shelton, whom groves met on twitter, the song did not chart, and has sold only , downloads to date, according to nielsen soundscan. the ep did even worse, selling only , copies to date. the hot chelle rae tour came and went, and without a hit single to give her first major label project some momentum, groves went back to waiting for word on her debut album. ""in pop, you have to come out of the gate swinging,"" says mcilwaine, who started working with groves in late summer  and also manages daughtry and kris allen. ""you have to have a song that cuts through and doesn't just barely get into the top . you got to have some horsepower -- in today's world, you almost have to think about having a second single be successful after a first single does well, in order to release an album."" groves was building a fan base on twitter, passing the time by tweeting jokes that bordered on crude and that resulted in admonishments from her then-management. but she also had to shrug off questions about her album release, and started to slip back into depression. after settling into los angeles upon signing with rca, groves became restless when her calls started going unanswered, and began bouncing around the country again -- returning to oklahoma, then back to l.a., then in nevada with her mother, before finally landing back in kansas. ""i had nothing to do all day,"" she says. the glimmers of hope were few and far between in the two years after the ""this little girl"" debacle. her next single, ""love actually,"" was released nearly a year after ""this little girl"" in june , but featured groves' biggest chorus yet and another lundin arrangement that revealed its details with repeated listens. ""love actually"" was included on the track list to the ""now that's what i call music! "" album, as one of four ""now what's next"" bonus tracks in august , around the time she decided to change management. but without any radio play, the single was quickly dismissed; its current sales stand at , downloads, according to nielsen soundscan. in early , groves was brought out to los angeles to shoot a music video for ""forget you,"" another new single that was more mature and evocative than ""love actually."" groves was told that ""forget you"" was going to be included on rca's upcoming soundtrack to ""the smurfs "" and supported with a radio tour; although her optimism had been waning, the singer sensed that there was some enthusiasm for ""forget you"" from the label. unfortunately, the ""smurfs "" soundtrack, led by the little-played britney spears single ""ooh la la,"" has sold , copies since its release last july, according to nielsen soundscan. ""i think it's fair to say that the 'smurfs ' soundtrack totally underperformed,"" says mcilwaine. at that point, the writing was on the wall for groves. the radio tour for ""forget you"" had boiled down to a single performance, at a water park named rock river rapids in derby, kansas last july. four more months of inaction followed, with groves describing a scene in which her management was feverishly pushing for a renewed radio tour for a single, ""forget you,"" that had already fulfilled its titular promise. out of options and patience, groves called hancock in a parking lot and begged to cut ties while choking back sobs. mcilwaine understood groves' choice, and finalized her departure from rca before the end of the year (the singer is still attached to rca's parent company, sony music entertainment, through her sony/atv publishing deal). ""i called up  tom corson,"" says mcilwaine, ""and said, 'hey, let's all be grown-ups here, and realize that this probably isn't going to become a priority for rca, and that you guys just have too many big records coming out. can cady and i just go on our way and find her a new home?' and tom was a total gentleman about it. he totally understood. he felt bad about it, but he was completely supportive of our decision to want to move on."" of course, groves didn't think she wanted to move on after such an experience; in mid-november, she told her manager that her career was over. mcilwaine advised the singer to take the thanksgiving and christmas break to think about her future, and make sure her choice was final. groves came back to him two days later with a changed mind. ""i couldn't believe it when she said she was going to quit,"" says petitt, her mother. ""but her heart wasn't ready to stop."" *** in october , just months before groves issued her only major label release to date, rca records folded j records, arista records and jive into one label. it was only natural for some of the roster's smaller artists, like groves, to get somewhat lost in the shuffle during that time of on-the-fly transition. but even some of the superstars on rca -- including miley cyrus, ke$ha and miguel -- have had to endure periods of reinvention, often on different labels, to achieve their current feats of fame over the courses of their careers. the phenomenon of the clumsily executed first encounter with major-label life isn't really a phenomenon at all. ""having, and losing, a major label deal in your early s is practically a rite of passage for most of the big artists who have broken out over the last few years -- lady gaga, bruno mars, katy perry,"" says lansky. ""it's sort of standard fare. and i do think that that level of stardom could be in cady's future."" groves doesn't know what will happen to the album she recorded during her first year as an rca artist, but grimly believes that it will never see the light of day, even if she secures the rights from her former label. ""i know that everyone around me doesn't want me to use , because they want me to make a new album,"" she says. and although those old songs sound slightly outdated, they also possess the blistering songwriting style that ""this little girl"" and ""love actually"" hinted at without fully embracing. songs like ""red handed,"" ""revenge"" and ""same"" are more polished than any of groves' properly released singles, and a previously unheard enthusiasm for country music is flashed effortlessly in a majority of the tracks. ""the collection of songs represents cady's own journey and expansion as a writer,"" says lundin. ""her country roots initially gave way to her born-again love of pop (she had been a closeted pop-o-holic for years) but progressed back towards country, once enough pop was out of her system."" groves hasn't made peace with the fact that her album might be gone for good, but she says she's happier than she has been in a long time. the singer did find a job out of the public eye in wichita last august, at the cocoa dolce artisan chocolate shop, where she could utilize her culinary degree and make truffles for  hours a week in an unseen kitchen. ""there were like eight people  in there,"" says groves, ""and they were all interested in what i did, and we'd listen to my songs as we worked. everyone who hears those songs, even strangers, gets excited for me."" every day in wichita, groves runs errands, stops by the starbucks she declined to work at, reads online articles and makes dinner. she goes to church every sunday, watches hdtv and live-tweets new episodes of ""teen mom."" she has recently gone through a breakup, and has leaned on family and friends while remaining candid about her feelings with her fans on twitter. for groves, social media remains a forum for both frank discussion about her past bouts of depression and an endless stream of taco bell jokes. she's eager to write the next chapter of her music career with a new label home, but groves hasn't written a new song in over a year. groves admits that she's scared of losing them again, of losing more pieces of herself, in a way she still can't understand. ""there's a huge fear ,"" she says. ""but if i don't do this, what else am i good at? i don't want to do anything else. if i don't do this now, when i have an opportunity, i'll never do this again. if i end up sitting around for another four years, at least i'll be able to write and record a little bit longer. at least it's taking another step toward what i want instead of giving up. i'm trying again."""
203,People Like Us,Kelly Clarkson,"we come into this world unknown but know that we are not alone they try and knock us down but change is coming, it's our time now  hey, everybody loses it everybody wants to throw it all away sometimes and hey, yeah, i know what you're going through don't let it get the best of you, you'll make it out alive oh people like us, we've gotta stick together keep your head up, nothing lasts forever here's to the damned, to the lost and forgotten it's hard to get high when you're living on the bottom  oh-whoa, oh-whoa we are all misfits living in a world on fire oh-whoa, oh-whoa sing it for the people like us, the people like us  hey, this is not a funeral it's a revolution after all your tears have turned to rage just wait, everything will be okay even when you're feeling like it's going down in flames oh  people like us, we've gotta stick together keep your head up, nothing lasts forever here's to the damned, to the lost and forgotten it's hard to get high when you're living on the bottom  oh-whoa, oh-whoa we are all misfits living in a world on fire oh-whoa, oh-whoa sing it for the people like us, the people like us oh-whoa, oh-whoa you've just gotta turn it up loud when the flames get higher oh-whoa, oh-whoa sing it for the people like us, the people like us you might also like they can't do nothing to you, they can't do nothing to me this is the life that we choose, this is the life that we bleed so throw your fists in the air come out, come out if you dare tonight we're gonna change forever  everybody loses it everybody wants to throw it all away sometimes oh  people like us, we've gotta stick together keep your head up, nothing lasts forever here's to the damned, to the lost and forgotten it's hard to get high when you're living on the bottom  oh-whoa, oh-whoa we are all misfits living in a world on fire (in a world on fire) oh-whoa, oh-whoa sing it for the people like us, the people like us oh-whoa, oh-whoa you've just gotta turn it up loud when the flames get higher (when the flames get higher) oh-whoa, oh-whoa sing it for the people like us, the people like us oh-whoa, oh-whoa we are all misfits living in a world on fire oh-whoa, oh-whoa sing it for the people like us, the people like us oh-whoa, oh-whoa you've just gotta turn it up loud when the flames get higher oh-whoa, oh-whoa sing it for the people like us, the people like us"
