,title,artist,total_words,total_bad_words,perc_bad_words
438,Side To Side,Ariana Grande,519,3,0.5780346820809248
439,Stay,Zedd,299,0,0.0
440,It Ain't Me (with Selena Gomez),Kygo,333,0,0.0
441,Malibu,Miley Cyrus,268,0,0.0
442,Something Just Like This,The Chainsmokers,282,0,0.0
443,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,279,0,0.0
444,I DonÂt Wanna Live Forever (Fifty Shades Darker),ZAYN,294,1,0.3401360544217687
445,My Way,Calvin Harris,327,0,0.0
446,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,318,2,0.628930817610063
447,Praying,Kesha,278,0,0.0
448,Despacito - Remix,Luis Fonsi,515,0,0.0
449,The Greatest,Sia,514,0,0.0
450,There for You,Martin Garrix,333,0,0.0
451,Paris,The Chainsmokers,419,1,0.23866348448687352
452,Crying in the Club,Camila Cabello,489,0,0.0
453,Mama,Jonas Blue,359,0,0.0
454,Slide (feat. Frank Ocean & Migos),Calvin Harris,877,6,0.6841505131128849
455,Swish Swish,Katy Perry,480,6,1.25
456,Chained To The Rhythm,Katy Perry,503,2,0.3976143141153081
457,Cold (feat. Future),Maroon 5,351,1,0.2849002849002849
458,Love,Lana Del Rey,299,0,0.0
459,ReggaetÃ³n Lento (Remix),CNCO,579,0,0.0
460,All I Ask,Adele,290,0,0.0
461,First Time,Kygo,303,0,0.0
462,The Cure,Lady Gaga,342,0,0.0
463,"How Far I'll Go - From ""Moana""",Alessia Cara,2959,13,0.43933761405880367
464,Bodak Yellow,Cardi B,698,26,3.7249283667621778
465,Rich Love (with Seeb),OneRepublic,466,1,0.2145922746781116
466,Tired,Alan Walker,286,0,0.0
467,Came Here for Love,Sigala,313,0,0.0
468,24K Magic,Bruno Mars,465,5,1.0752688172043012
469,Strip That Down (feat. Quavo),Liam Payne,87,0,0.0
470,Cut To The Feeling,Carly Rae Jepsen,444,0,0.0
471,Bon appÃ©tit,Katy Perry,539,0,0.0
472,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,1714,16,0.9334889148191364
473,Get Low (with Liam Payne),Zedd,315,3,0.9523809523809524
474,Kissing Strangers,DNCE,350,4,1.1428571428571428
475,Slow Hands,Niall Horan,277,0,0.0
476,Younger Now,Miley Cyrus,207,0,0.0
477,Body Moves,DNCE,504,0,0.0
478,Angel,Fifth Harmony,446,4,0.8968609865470852
479,Touch (feat. Kid Ink),Little Mix,394,2,0.5076142131979695
480,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,385,0,0.0
481,Love Incredible (feat. Camila Cabello),Cashmere Cat,477,1,0.20964360587002098
482,No Vacancy (with SebastiÃ¡n Yatra),OneRepublic,377,0,0.0
483,Rich Boy,Galantis,303,0,0.0
484,Lust for Life (with The Weeknd),Lana Del Rey,485,0,0.0
485,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,251,1,0.398406374501992
486,Influence,Tove Lo,471,1,0.21231422505307856
487,Remember I Told You,Nick Jonas,413,6,1.4527845036319613
488,Messin' Around,Pitbull,596,3,0.5033557046979865
489,Water Under the Bridge,Adele,414,0,0.0
490,Free Me,Sia,280,0,0.0
491,Kissing Strangers - Remix,DNCE,366,4,1.092896174863388
492,A L I E N S,Coldplay,187,0,0.0
493,One Kiss (with Dua Lipa),Calvin Harris,199,1,0.5025125628140703
494,Havana (feat. Young Thug),Camila Cabello,877,6,0.6841505131128849
495,I Like It,Cardi B,793,9,1.1349306431273645
496,New Rules,Dua Lipa,488,0,0.0
497,There's Nothing Holdin' Me Back,Shawn Mendes,340,0,0.0
498,no tears left to cry,Ariana Grande,504,0,0.0
499,IDGAF,Dua Lipa,447,7,1.5659955257270695
500,In My Blood,Shawn Mendes,273,0,0.0
501,Wolves,Selena Gomez,366,0,0.0
502,Dusk Till Dawn - Radio Edit,ZAYN,396,0,0.0
503,Attention,Charlie Puth,499,0,0.0
504,Electricity (with Dua Lipa),Silk City,424,1,0.2358490566037736
505,Love On The Brain,Rihanna,332,4,1.2048192771084338
506,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,334,1,0.29940119760479045
507,Silence,Marshmello,281,0,0.0
508,Sorry Not Sorry,Demi Lovato,496,8,1.6129032258064515
509,Shallow - Radio Edit,Lady Gaga,179,0,0.0
510,These Days,Rudimental,458,0,0.0
511,What Lovers Do (feat. SZA),Maroon 5,254,2,0.7874015748031495
512,Finesse - Remix; feat. Cardi B,Bruno Mars,1816,6,0.3303964757709251
513,Perfect Duet (Ed Sheeran & BeyoncÃ©),Ed Sheeran,294,3,1.0204081632653061
514,Bad At Love,Halsey,415,1,0.24096385542168677
515,Him & I (with Halsey),G-Eazy,395,0,0.0
516,Friends (with BloodPopÂ®),Justin Bieber,527,4,0.7590132827324478
517,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,498,0,0.0
518,My My My!,Troye Sivan,262,2,0.7633587786259541
519,Capital Letters,Hailee Steinfeld,483,0,0.0
520,Sick Boy,The Chainsmokers,459,0,0.0
521,Tequila,Dan + Shay,324,0,0.0
522,Look What You Made Me Do,Taylor Swift,563,0,0.0
523,Youth (feat. Khalid),Shawn Mendes,340,2,0.5882352941176471
524,Bad Liar,Selena Gomez,439,0,0.0
525,Anywhere,Rita Ora,405,0,0.0
526,Say Something,Justin Timberlake,454,0,0.0
527,Chun-Li,Nicki Minaj,438,20,4.5662100456621
528,Sign of the Times,Harry Styles,362,0,0.0
529,Familiar,Liam Payne,498,2,0.4016064257028112
530,Let Me,ZAYN,338,0,0.0
531,Supernova,Ansel Elgort,318,2,0.628930817610063
532,Nervous,Shawn Mendes,428,0,0.0
533,First Time,Kygo,303,0,0.0
534,End Game,Taylor Swift,716,1,0.13966480446927373
535,Mi Gente (feat. BeyoncÃ©),J Balvin,422,0,0.0
536,Lemon,N.E.R.D,594,20,3.3670033670033668
537,For You (With Rita Ora),Liam Payne,236,2,0.847457627118644
538,Want To,Dua Lipa,265,0,0.0
539,What I Need (feat. Kehlani),Hayley Kiyoko,113,1,0.8849557522123894
540,Wait,Maroon 5,385,0,0.0
541,What About Us,P!nk,313,0,0.0
542,Kissing Strangers,DNCE,350,4,1.1428571428571428
543,2U (feat. Justin Bieber),David Guetta,314,1,0.3184713375796179
544,Walk On Water (feat. BeyoncÃ©),Eminem,305,0,0.0
545,This Town,Niall Horan,323,0,0.0
546,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,412,1,0.24271844660194172
547,MOVE TO MIAMI,Enrique Iglesias,397,2,0.5037783375314862
548,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,527,4,0.7590132827324478
549,Filthy,Justin Timberlake,458,0,0.0
550,Never Be the Same - Radio Edit,Camila Cabello,429,0,0.0
551,Ferrari,Bebe Rexha,283,1,0.35335689045936397
552,Supplies,Justin Timberlake,404,3,0.7425742574257426
553,Boom Boom,RedOne,531,2,0.3766478342749529
554,...Ready For It? - BloodPopÂ® Remix,Taylor Swift,358,0,0.0
555,Drip (feat. Migos),Cardi B,219,1,0.45662100456621
556,Tell Me You Love Me - NOTD Remix,Demi Lovato,388,0,0.0
557,Memories,Maroon 5,399,2,0.5012531328320802
558,Lose You To Love Me,Selena Gomez,349,1,0.28653295128939826
559,Someone You Loved,Lewis Capaldi,312,0,0.0
560,SeÃ±orita,Shawn Mendes,355,0,0.0
561,How Do You Sleep?,Sam Smith,329,0,0.0
562,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,458,1,0.21834061135371177
563,Trampoline (with ZAYN),SHAED,458,1,0.21834061135371177
564,Happier,Marshmello,389,0,0.0
565,Truth Hurts,Lizzo,518,7,1.3513513513513513
